"Source","Enseigne","Adresse_postale","Code_postal","Commune","Telephone","Note_globale","Nombre_d_avis","Horaires_lundi","Horaires_mardi","Horaires_mercredi","Horaires_jeudi","Horaires_vendredi","Horaires_samedi","Horaires_dimanche","Prestations_Boissons","Prestations_Burgers","Prestations_Desserts","Prestations_Grillades","Prestations_Kebab","Prestations_Lahmacun/Pide","Prestations_Pizzas","Prestations_Plats/Assiettes","Prestations_Salades","Prestations_Sandwichs","Services_Accès_handicapés","Services_Broche_faite_Maison","Services_Carte_de_fidélité","Services_Certificat_halal","Services_Frîtes_fraiches_Maison","Services_Groupes_acceptés","Services_Menu_enfant","Services_Pain_fait_Maison","Services_Parking","Services_Réduction_étudiants","Services_Restauration_à_emporter","Services_Restauration_sur_place","Services_Salle_avec_télévision","Services_Salle_climatisée","Services_Service_de_livraison","Services_Terrasse","Services_Thé_offert","Services_Wifi_gratuit","Tarifs","Note_Accueil","Note_Hygiene","Note_Fraicheur","Note_Crudites","Note_Sauces","Note_Viandes","Note_Frites","Note_Pain","Note_Quantite","Note_Qualiteprix","BD_Adresse_Longitude","BD_Adresse_Latitude","BD_Adresse_Score"
"https://www.kebab-frites.com/kebab/la-focaccina-paris-14.html","La Focaccina","119 rue Didot",75014.,"Paris 14","01 45 41 29 99",4.6,1.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",5.,5.,5.,4.,5.,5.,3.,5.,4.,5.,2.314974,48.827563,0.8791653535353534
"https://www.kebab-frites.com/kebab/restaurant-elite-paris-14.html","Restaurant Elite","4 boulevard Brune",75014.,"Paris 14","01 40 44 00 77",3.2,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,2.304644,48.82766,0.8927380058651025
"https://www.kebab-frites.com/kebab/elenya-paris-14.html","Elenya","172 rue d'Alésia",75014.,"Paris 14","01 45 85 86 08",4.,1.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","OUI","NON","NON","OUI","OUI","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","Kebab Sandwich Kebab 5.00€ ",5.,4.,4.,3.,4.,4.,3.,4.,4.,5.,2.313859,48.831988,0.8921572727272727
"https://www.kebab-frites.com/kebab/oprestige-paris-14.html","O'Prestige","73 rue pernety",75014.,"Paris 14","01 40 44 02 95",3.4,4.,"11h00-23h00 ","11h00-23h00 ","11h00-23h00 ","11h00-23h00 ","11h00-23h00 ","11h00-23h00 ","Fermé","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",3.,1.,6.,3.,3.,3.,3.,3.,3.,3.,2.31665,48.834798,0.8810792207792207
"https://www.kebab-frites.com/kebab/sandwich-doner-paris-14.html","Sandwich Doner","6 rue Odessa",75014.,"Paris 14","",3.8,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",5.,5.,3.,3.,3.,3.,2.,4.,4.,3.,2.324326,48.842756,0.8105223376623376
"https://www.kebab-frites.com/kebab/restaurant-titanic-paris-14.html","Restaurant Titanic","111 rue Raymond Losserand",75014.,"Paris 14","",3.1,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",3.,2.,3.,3.,3.,3.,2.,3.,4.,3.,2.316096,48.832795,0.91300993006993
"https://www.kebab-frites.com/kebab/restaurant-rosa-paris-14.html","Restaurant Rosa","58 avenue du général Leclerc",75014.,"Paris 14","",1.,1.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.328509,48.830053,0.9156894805194804
"https://www.kebab-frites.com/kebab/royal-delices-paris-14.html","Royal Délices","3 rue du faubourg Saint-Jacques",75014.,"Paris 14","",2.4,1.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",2.,3.,1.,1.,3.,1.,4.,3.,3.,3.,2.339586,48.838547,0.9145757575757575
"https://www.kebab-frites.com/kebab/planet-food-paris-14-1.html","Planet Food","7 rue du départ",75014.,"Paris 14","",2.7,7.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",3.,3.,2.,2.,2.,1.,2.,3.,2.,3.,2.32402,48.842894,0.8780870219435736
"https://www.kebab-frites.com/kebab/planet-food-paris-14.html","Planet Food","138 Avenue Général Leclerc",75014.,"Paris 14","01 45 39 71 48",3.6,5.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.70€ ",4.,2.,4.,3.,3.,3.,3.,4.,3.,4.,2.325409,48.82366,0.8537746511627906
